STT,Link Tiktok,Link Tiktok,ID Tiktok,Booking Expense,Segment,Category,Type,Cost,"Extra/FOC 
(SHDA + hashtag)","Tổng Cast 
(Đã bao gồm thuế)",Booking Expense,Followers,GMV / Month,Contact,Tình trạng hợp tác,MCN note ,,,   ,Link Tiktok,ID Tiktok,Booking Expense,Segment,Concept,Type,Followers,GMV / Month,Meta Ecom note,Brand Pick,Brand note,Khu vực,Product Focus
#REF!,https://www.tiktok.com/@dabarrier,,dabarrier,,Massive KOC,Beauty,Video,,,,0,18K,"33,98M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@dlinguyen,,dlinguyen,,Massive KOC,Beauty,Video,,,,0,"29,9K",70.7M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@iamzrun,,iamzrun,"11,000,000 ₫",Massive KOC,Beauty,Video,,,,0,"106,9K",1.61B,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@atatrang,,atatrang,,Massive KOC,Beauty,Video,,,,0,43.9K,4.17M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@manman_sayhi,,manman_sayhi,"12,500,000 ₫",Massive KOC,Beauty,Video,,,,0,"113,7K",299.41M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ceribyme,,ceribyme,,Massive KOC,Beauty,Video,,,,0,70.3K,4.23M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@cocam2509,,cocam2509,"13,000,000 ₫",Massive KOC,Beauty,Video,,,,0,41K,939.19M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@cheebeauty03,,cheebeauty03,,Massive KOC,Beauty,Video,,,,0,322.1K,191.58M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@khnhlyvuong,,khnhlyvuong,"24,000,000 ₫",Massive KOC,Beauty,Video,,,,0,"117,2K",14.54M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mividiemanh,,mividiemanh,"20,000,000 ₫",Massive KOC,Beauty,Video,,,,0,1M,0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@phanaizi,,phanaizi,,Massive KOC,Beauty,Video,,,,0,113.1K,132.44M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@khathanhduy.vlogger,,khathanhduy.vlogger,,Massive KOC,Beauty,Video,,,,0,63.9K,572.90M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@licara19,,licara19,"4,000,000 ₫",Massive KOC,Beauty,Video,,,,0,40.7K,50.32M,,,,,,,,,,,,,,,,,,
